ID,Journalist,Channel,Newspaper,Region,City,Topic,Headline,Ratings,Revenue,Airtime,SentimentScore,BiasScore,Viewership,Shares,AdSpend,ControversyFlag,MissingDataFlag,Date,Language,PoliticalAffiliation,SocialMediaInteractions
6037,Mohsin Raza Khan,ARY,The News,Balochistan,Islamabad,Media,Chief Justice orders suo moto on Karachi violence,,,449.0,,,,,1 crore,0,0.0,2020-01-07,Urdu,Opposition,3963.0
6038,Matiullah Jan,ARY,Express Tribune,KPK,Lahore,Health,ARY anchor arrested in midnight raid,103.0959696,,,0.5278113562,4.0,39.28261574,,1 crore,0,,2022-08-08,Urdu,Pro-Govt,
6039,Shahzeb Khanzada,geo,Express Tribune,Islamabad,Multan,Health,Geo TV faces heavy fines by PEMRA,50.78387171,,103.0,0.9469910487,5.0,30.68587419,,50 lakh,,1.0,2021-10-22,English,Neutral,
6040,Talat Hussain,Samaa,Jang,KPK,Hyderabad,Economy,IMF deal finalised today,,10 lakh,,-1.07518529,0.0,242824.0,160114.0,1 crore,0,,2021-09-21,English,Neutral,19996.0
6041,Ansar Abbasi,AbbTakk News,Jang,AJK,Quetta,Sports,Digital media gaining popularity,107.5140218,14510476,,,0.0,1735469.0,161892.0,1427911.313,No,1.0,2018-10-01,,,
6042,Owais Tohid,SAMAA TV,Jang,Balochistan,Lahore,Economy,Militant hideout destroyed in KPK,,2 crore,458.0,,,1166058.0,123765.0,50 lakh,No,0.0,2024-10-08,English,,15080.0
6043,Matiullah Jan,Express,The News,KPK,Quetta,Economy,Women cricket team sets new record,53.24877853,1842499,,0.1692415959,2.0,32.51927121,155383.0,50 lakh,,0.0,2019-10-21,,Neutral,22990.0
6044,Saleem Safi,Express-News,Dawn,Sindh,Islamabad,Economy,Babar Azam century wins the game,,,,-1.639902786,,26.45361645,,50 lakh,Yes,,2023-07-21,ENG,,49719.0
6045,Kamran Shahid,DawnNews,Dawn,Islamabad,Lahore,Sports,SC disqualifies minister in assets case,,,30.0,,,1864065.0,,1 crore,1,1.0,2022-05-18,,Neutral,
6046,Kamran Khan,DAWN,Dawn,Sindh,Lahore,Terrorism,PEMRA issues warning to multiple channels,,5 million,,1.336912828,-1.0,,,,1,1.0,2025-09-05,urdu,Neutral,
6047,Talat Hussain,AbbTakk News,Daily Pakistan,KPK,Multan,Sports,Geo TV faces heavy fines by PEMRA,44.42582589,2 crore,,1.979778246,,35.63648443,,1046511.789,No,0.0,2018-06-14,Urdu,Opposition,43509.0
6048,RAUF KLASSRA,DAWN,Daily Pakistan,KPK,Karachi,Media,Karachi Kings beat Multan Sultans,87.20879628,5 million,,,,,8211.0,2283178.486,No,0.0,2019-08-10,English,Pro-Govt,
6049,Ansar Abbasi,hum news,Daily Pakistan,Sindh,Lahore,Judiciary,Women cricket team sets new record,,13040328,,-1.890208003,,49.9343235,,1 crore,Yes,1.0,2021-05-27,ENG,Opposition,
6050,Saleem Safi,Samaa,Nawa-i-Waqt,Balochistan,Islamabad,Terrorism,Counter-terrorism department arrests suspects,,2 crore,99.0,1.309083099,,46.64304804,59922.0,1 crore,No,1.0,2022-05-21,Urdu,Opposition,34685.0
6051,shahzeb khanzada,AbbTakk News,Express Tribune,Islamabad,Multan,Judiciary,Digital media gaining popularity,-4.072024092,10 lakh,267.0,1.096341957,,31.95204604,182720.0,50 lakh,No,0.0,2022-11-14,urdu,Opposition,
6052,Najam Sethi,ARY,Daily Pakistan,Balochistan,Hyderabad,Sports,Education ministry faces criticism,,366603,,,,,,50 lakh,No,,2021-08-16,Urdu,,
6053,Kamran Khan,SAMAA TV,Daily Pakistan,Islamabad,Quetta,Health,Relief camp set up in Multan,,5 million,,-1.291018904,,,73653.0,4461112.748,Yes,1.0,2023-01-06,English,Opposition,36982.0
6054,Mohsin Raza,Geo,Express Tribune,AJK,Quetta,Terrorism,Dawn faces backlash over editorial,50.11318161,5 million,,,0.0,,,2051494.78,No,1.0,2018-05-27,English,Pro-Govt,
6055,Dr. Shahid Masood,SAMAA TV,Nawa-i-Waqt,KPK,Lahore,Politics,Education ministry faces criticism,58.74450723,10 lakh,232.0,,,1893612.0,78465.0,,1,0.0,2024-10-14,urdu,Pro-Govt,42788.0
6056,Mohsin Raza Khan,Samaa,The News,KPK,Islamabad,Media,Digital media gaining popularity,112.1588167,5 million,,-0.6692979047,,4.150149091,,50 lakh,0,1.0,2022-01-21,English,Neutral,
6057,Mohsin Raza Khan,Express-News,The News,Punjab,Peshawar,Media,Matric exams leaked in Karachi,,10 lakh,366.0,,,327464.0,135740.0,1497191.611,No,0.0,2020-11-24,urdu,Opposition,23047.0
6058,shahzeb khanzada,DAWN,Dawn,Balochistan,Islamabad,Terrorism,Matric exams leaked in Karachi,,18629775,480.0,-1.076224454,3.0,1062453.0,152129.0,,1,,2022-04-28,English,Opposition,
6059,Umar Cheema,AbbTakk News,Daily Pakistan,AJK,Peshawar,Education,Karachi drainage system collapses,28.25993327,5 million,,0.3615282874,,38.04360836,100992.0,1 crore,,,2019-10-20,English,Opposition,44780.0
6060,Umar Cheema,HUM News,Nawa-i-Waqt,Punjab,Quetta,Health,Karachi drainage system collapses,,10 lakh,230.0,,,425581.0,,1 crore,Yes,,2024-08-15,English,Neutral,12304.0
6061,Saleem Safi,ARY,Nawa-i-Waqt,Sindh,Hyderabad,Terrorism,Stock exchange crashes amid crisis,,5 million,273.0,0.4707581415,,,18539.0,1 crore,,,2025-01-02,,,36797.0
6062,shahzeb khanzada,Samaa,The News,Punjab,Rawalpindi,Crime,Digital media gaining popularity,40.83711441,5 million,405.0,-1.366652372,3.0,19.95694516,169747.0,50 lakh,1,1.0,2024-05-14,,Opposition,48846.0
6063,Umar Cheema,Samaa,Jang,KPK,Rawalpindi,Economy,Vaccination drive faces shortage,44.7416655,5222947,306.0,-0.2357264855,,1953109.0,2552.0,1690991.194,0,1.0,2020-12-03,urdu,Opposition,8422.0
6064,K. Khan,Geo,Jang,Islamabad,Multan,Terrorism,Terrorist attack in Quetta leaves 20 dead,,5 million,,-0.1783950244,,63916.0,171986.0,50 lakh,No,0.0,2023-09-01,,Pro-Govt,26974.0
6065,Owais Tohid,ARYNEWS,Jang,AJK,Multan,Crime,Trade deficit widens again,97.25637972,5 million,,,,20.12343087,172054.0,-2453.040359,1,,2018-08-09,English,Opposition,13769.0
6066,shahzeb khanzada,geo,Jang,Sindh,Peshawar,Sports,Villages submerged in southern Punjab,,2520365,301.0,,,,,4148375.267,No,1.0,2021-07-13,,Pro-Govt,33962.0
6067,Owais Tohid,Geo,Dawn,AJK,Hyderabad,Education,Lawyers boycott proceedings,,10 lakh,,-0.4541497893,,40.83599143,,50 lakh,Yes,0.0,2022-07-07,ENG,,22765.0
6068,K. Khan,AbbTakk News,Express Tribune,Balochistan,Lahore,Health,Doctors protest low salaries,,,-2.0,,0.0,48.88685344,,1 crore,0,0.0,2021-09-21,Urdu,,160.0
6069,Matiullah Jan,geo,Jang,Islamabad,Rawalpindi,Economy,Attack on Army convoy in Waziristan,104.7908292,19373656,,-1.623107519,,,,50 lakh,No,,2020-02-22,,Neutral,
6070,Mohsin Raza Khan,AbbTakk News,Dawn,Balochistan,Karachi,Terrorism,New talent emerges in under-19 cricket,29.30317315,,272.0,,,12.66101485,,1 crore,No,0.0,2023-05-22,,Opposition,30944.0
6071,Dr. Shahid Masood,hum news,Daily Pakistan,Balochistan,Quetta,Health,Counter-terrorism department arrests suspects,,10 lakh,438.0,-1.002801177,,1405525.0,114923.0,50 lakh,0,,2020-02-15,Urdu,,12455.0
6072,Umar Cheema,ARY,Dawn,Punjab,Karachi,Health,Stock exchange crashes amid crisis,,5 million,40.0,-0.3071183529,,8.724672784,,1 crore,0,,2023-08-15,urdu,,
6073,Kamran Shahid,Express-News,Nawa-i-Waqt,Balochistan,Islamabad,Sports,Dengue cases rising in Lahore hospitals,101.6059188,,51.0,,,11.40062786,158395.0,50 lakh,1,1.0,2021-06-05,urdu,Neutral,
6074,Asma Shirazi,hum news,Express Tribune,KPK,Lahore,Terrorism,Quetta blast: ISPR releases statement,,11642474,,,2.0,28.11891677,,50 lakh,No,,2024-04-01,ENG,Neutral,
6075,Kamran Khan,SAMAA TV,Nawa-i-Waqt,Sindh,Peshawar,Health,Hockey team faces funding crisis,,3822588,476.0,,3.0,70927.0,58085.0,1 crore,0,0.0,2024-06-17,English,Neutral,
6076,Saleem Safi,ARY News,Express Tribune,Islamabad,Peshawar,Judiciary,Climate change worsening floods,,10 lakh,,0.9625888138,2.0,403849.0,,1 crore,,0.0,2019-03-01,Urdu,,41319.0
6077,K. Khan,SAMAA TV,Express Tribune,Islamabad,Rawalpindi,Judiciary,New tax reforms spark debate in parliament,,5 million,292.0,,,,,762162.3431,Yes,0.0,2022-09-20,ENG,Opposition,49902.0
6078,Talat Hussain,Geo,The News,AJK,Lahore,Education,Chief Justice orders suo moto on Karachi violence,,17765942,,1.111863832,,1610066.0,,50 lakh,Yes,0.0,2022-11-16,Urdu,Neutral,
6079,Kamran Khan,ARYNEWS,Daily Pakistan,KPK,Peshawar,Education,Top court rejects NAB report,,,390.0,,0.0,1770768.0,,,Yes,1.0,2018-07-06,Urdu,Neutral,
6080,Kamran Khan,Samaa,Express Tribune,KPK,Quetta,Terrorism,Senate passes constitutional amendment,111.728074,2 crore,432.0,1.705685325,2.0,46.58224134,,1 crore,,0.0,2023-12-27,,,
6081,Najam Sethi,Samaa,Daily Pakistan,Sindh,Rawalpindi,Judiciary,Chief Justice orders suo moto on Karachi violence,,10 lakh,,-1.444173672,,26.79470974,,,1,1.0,2020-08-27,ENG,Opposition,
6082,Ansar Abbasi,ARYNEWS,Dawn,AJK,Multan,Judiciary,"Judiciary under pressure, say analysts",42.13751213,,,0.5683556242,2.0,154230.0,157831.0,1265621.241,1,,2020-09-10,,Neutral,
6083,Najam Sethi,Express-News,Jang,KPK,Hyderabad,Education,Floods devastate Sindh villages,73.71288547,10 lakh,,-1.144582974,3.0,,,50 lakh,,0.0,2024-08-17,Urdu,Neutral,
6084,RAUF KLASSRA,ARYNEWS,The News,Sindh,Islamabad,Education,Villages submerged in southern Punjab,2.202427001,,239.0,,,,114334.0,1341954.522,0,0.0,2024-10-13,ENG,Neutral,32619.0
6085,Mohsin Raza Khan,GEO NEWS,Jang,Islamabad,Peshawar,Sports,Health workers go on strike in Punjab,,10 lakh,408.0,0.149694229,-1.0,7.617645187,186352.0,50 lakh,No,,2019-02-08,English,Neutral,37331.0
6086,Mohsin Raza,GEO NEWS,Dawn,KPK,Islamabad,Economy,IMF deal finalised today,66.79198661,10 lakh,,,,721004.0,,1649814.973,,0.0,2018-02-21,,Neutral,
6087,Nusrat Javed,DAWN,Dawn,AJK,Multan,Media,Ban on talkshows sparks outrage,70.45436612,2 crore,,,,655417.0,,50 lakh,0,1.0,2020-01-01,,Neutral,
6088,Mohsin Raza,HUM News,The News,Punjab,Rawalpindi,Terrorism,Dengue cases rising in Lahore hospitals,16.95193604,1187994,,,1.0,1745580.0,155756.0,,0,1.0,2023-11-21,Urdu,Opposition,48270.0
6089,shahzeb khanzada,Samaa,Nawa-i-Waqt,Balochistan,Islamabad,Politics,Exports see slight recovery,41.83119951,2 crore,,-0.5612805497,,,,1851571.655,Yes,0.0,2018-05-01,English,Neutral,
6090,Saleem Safi,Express,Daily Pakistan,Balochistan,Rawalpindi,Health,Election rigging scandal unfolds in Lahore,,,24.0,0.5483447101,0.0,24.54852006,,,,1.0,2018-06-22,urdu,Pro-Govt,47519.0
6091,Dr. Shahid Masood,SAMAA TV,Dawn,AJK,Islamabad,Economy,Quetta blast: ISPR releases statement,,9421648,30.0,,1.0,23.38194566,52335.0,3014163.972,Yes,,2021-05-08,English,Opposition,
6092,Kamran Khan,Samaa,Daily Pakistan,Islamabad,Islamabad,Terrorism,University students protest fee hikes,,6498165,,,-1.0,616958.0,,50 lakh,No,,2018-01-22,Urdu,,17802.0
6093,Talat Hussain,hum news,The News,Balochistan,Hyderabad,Judiciary,Relief camp set up in Multan,,5 million,,-1.36313259,5.0,8.837200879,,1 crore,1,1.0,2020-12-26,English,Neutral,
6094,Shahzeb Khanzada,HUM News,The News,KPK,Peshawar,Judiciary,SC disqualifies minister in assets case,,16262378,,,,1962158.0,143443.0,1132945.248,0,1.0,2024-06-23,English,Neutral,8101.0
6095,Talat Hussain,Samaa,Dawn,Punjab,Rawalpindi,Health,Government launches CPEC project in Gwadar,64.97854326,18529065,,,,543767.0,112281.0,50 lakh,Yes,,2020-01-03,,Pro-Govt,16516.0
6096,Dr. Shahid Masood,ARYNEWS,Daily Pakistan,Punjab,Hyderabad,Judiciary,Dollar hits 300 in open market,,10 lakh,,,1.0,1833336.0,86487.0,,No,1.0,2025-06-16,ENG,,35631.0
6097,Talat Hussain,ary,Express Tribune,Sindh,Peshawar,Economy,News anchor resigns citing threats,1.620154279,,,1.026091461,5.0,,,2542458.625,No,,2018-09-18,Urdu,Pro-Govt,
6098,Dr. Shahid Masood,ARYNEWS,Dawn,Balochistan,Peshawar,Health,Polio cases reported in KPK,35.81420471,10 lakh,477.0,1.501923445,3.0,24.18262114,77324.0,329536.8259,0,1.0,2020-06-27,urdu,Neutral,
6099,Kamran Shahid,ARYNEWS,Jang,AJK,Lahore,Crime,Women cricket team sets new record,,9117869,,,2.0,46.24922969,,1 crore,1,0.0,2024-01-18,Urdu,Neutral,
6100,Shahzeb Khanzada,Samaa,Jang,AJK,Lahore,Media,Hockey team faces funding crisis,91.75954728,,221.0,-0.3741594177,,40.53664173,44650.0,1 crore,1,0.0,2020-04-27,ENG,Neutral,
6101,Nusrat Javed,ary,Dawn,Punjab,Peshawar,Politics,International squash event begins in Islamabad,,2 crore,,,,,194359.0,,Yes,1.0,2025-08-10,ENG,Pro-Govt,
6102,Talat Hussain,Express-News,Nawa-i-Waqt,KPK,Islamabad,Education,Vaccination drive faces shortage,,2 crore,177.0,,,1411300.0,,4899515.042,1,1.0,2020-09-17,,Pro-Govt,37418.0
6103,Saleem Safi,hum news,Express Tribune,Sindh,Multan,Sports,Geo TV faces heavy fines by PEMRA,115.0768614,5 million,130.0,1.137312122,,,,50 lakh,No,0.0,2021-07-17,Urdu,Opposition,16117.0
6104,Ansar Abbasi,Express-News,Dawn,Balochistan,Quetta,Sports,Government launches CPEC project in Gwadar,6.078916607,5 million,,1.212680196,,1751024.0,140053.0,1 crore,Yes,0.0,2019-09-16,English,Neutral,
6105,Matiullah Jan,ary,The News,Punjab,Quetta,Education,New tax reforms spark debate in parliament,,10 lakh,,-0.5405218791,4.0,761459.0,,34161.93037,1,1.0,2022-09-13,urdu,Neutral,
6106,RAUF KLASSRA,Express-News,Daily Pakistan,Balochistan,Peshawar,Crime,Army chief meets PM over political crisis,56.5651716,,296.0,,-1.0,,,2023642.703,,1.0,2018-08-08,Urdu,Pro-Govt,
6107,Asma Shirazi,Express,Express Tribune,AJK,Rawalpindi,Crime,New tax reforms spark debate in parliament,,5 million,476.0,,2.0,14.86696925,,,,1.0,2020-01-11,ENG,,23500.0
6108,Mohsin Raza,ARY,Jang,Islamabad,Lahore,Health,Opposition stages walkout in National Assembly,14.12701669,5 million,,-1.671058786,,1548454.0,112816.0,50 lakh,No,0.0,2021-05-20,urdu,Neutral,
6109,RAUF KLASSRA,ary,The News,KPK,Karachi,Health,HEC budget slashed again,112.5149235,2 crore,,-1.763695604,2.0,319927.0,177753.0,1 crore,,0.0,2023-06-24,,Pro-Govt,
6110,Nusrat Javed,ARYNEWS,Dawn,AJK,Islamabad,Crime,ARY anchor arrested in midnight raid,92.38145059,2 crore,126.0,-0.257333656,0.0,17.5770581,,50 lakh,Yes,0.0,2023-01-25,Urdu,Pro-Govt,44925.0
6111,Dr. Shahid Masood,geo,Express Tribune,Balochistan,Peshawar,Sports,Quetta blast: ISPR releases statement,65.18003468,5 million,,0.0393741453,,13.89235214,,50 lakh,No,1.0,2021-04-08,,Neutral,6438.0
6112,Shahzeb Khanzada,Geo,Jang,Balochistan,Peshawar,Media,Suicide bombing in Peshawar mosque,61.09073282,5 million,261.0,-0.7598887445,1.0,,102612.0,50 lakh,,1.0,2025-12-24,ENG,Pro-Govt,33375.0
6113,Umar Cheema,Geo,Nawa-i-Waqt,KPK,Peshawar,Education,Government announces new health policy,28.84832567,,322.0,,3.0,1333691.0,,3229048.431,,,2025-02-06,ENG,Opposition,
6114,Najam Sethi,DawnNews,Jang,Sindh,Peshawar,Sports,Doctors protest low salaries,88.73147527,5 million,,0.4323677501,4.0,,22128.0,,Yes,0.0,2020-11-08,urdu,,
6115,shahzeb khanzada,SAMAA TV,Dawn,Balochistan,Islamabad,Judiciary,Women cricket team sets new record,57.95439051,1818539,259.0,0.005635990041,1.0,41.00861542,,,Yes,,2024-09-04,,Neutral,37398.0
6116,shahzeb khanzada,ARY,Express Tribune,Balochistan,Peshawar,Politics,HEC budget slashed again,6.490434641,2 crore,258.0,,3.0,1245236.0,,1 crore,,,2023-07-22,ENG,Pro-Govt,
6117,Mohsin Raza Khan,HUM News,Dawn,Sindh,Quetta,Crime,Babar Azam century wins the game,105.3538387,,337.0,,,43.42545292,69342.0,1 crore,No,1.0,2021-01-26,,Pro-Govt,36642.0
6118,Kamran Khan,Express,Jang,Sindh,Quetta,Terrorism,New universities to be established,86.27279854,7692388,,0.5840097008,0.0,1266069.0,83197.0,50 lakh,,1.0,2022-09-16,urdu,Opposition,
6119,RAUF KLASSRA,HUM News,Daily Pakistan,AJK,Islamabad,Crime,Teachers boycott classes in KP,,10 lakh,,-0.8804966035,,,114480.0,50 lakh,No,0.0,2018-03-03,urdu,Pro-Govt,
6120,RAUF KLASSRA,GEO NEWS,The News,Sindh,Karachi,Politics,Cabinet approves controversial media law,,10 lakh,318.0,-1.226296153,-1.0,269169.0,,1 crore,No,,2018-03-15,ENG,,
6121,Asma Shirazi,ARY,Jang,Islamabad,Rawalpindi,Crime,Digital media gaining popularity,91.15120949,8081399,,-0.9501992888,1.0,,,1811920.172,No,0.0,2025-05-14,English,Pro-Govt,
6122,Mohsin Raza,DawnNews,Nawa-i-Waqt,Balochistan,Karachi,Sports,Geo TV faces heavy fines by PEMRA,116.0328629,5 million,274.0,1.123848189,,1881485.0,11914.0,2112899.754,,1.0,2023-08-05,,Neutral,48147.0
6123,Talat Hussain,Express-News,Express Tribune,Islamabad,Islamabad,Media,IMF deal finalised today,82.12216586,5 million,142.0,-0.930212098,,27.3661937,,50 lakh,1,0.0,2018-01-19,English,,
6124,Nusrat Javed,GEO NEWS,Jang,Balochistan,Hyderabad,Terrorism,Hockey team faces funding crisis,58.42904491,2 crore,,,,,183454.0,,1,,2024-03-13,English,,
6125,Dr. Shahid Masood,Samaa,Nawa-i-Waqt,KPK,Peshawar,Health,Opposition stages walkout in National Assembly,78.46132241,6277230,,,,1963305.0,169944.0,4685180.26,1,0.0,2022-12-07,,,
6126,Mohsin Raza Khan,ARY,Daily Pakistan,Punjab,Peshawar,Politics,Five soldiers martyred in ambush,,5 million,,1.587212399,,40.74297311,,3740352.969,,1.0,2024-06-02,English,Neutral,41301.0
6127,shahzeb khanzada,ARYNEWS,Dawn,AJK,Lahore,Education,Teachers boycott classes in KP,,12803580,,-0.9824396485,1.0,140302.0,127257.0,50 lakh,0,,2018-08-15,urdu,,
6128,Ansar Abbasi,Express,Dawn,Punjab,Hyderabad,Crime,High Court stays government decision,70.94637321,5 million,,,,31.97341034,199766.0,,1,0.0,2019-04-13,English,Opposition,38064.0
6129,Kamran Khan,Express-News,The News,Punjab,Multan,Sports,Revenue from tax declines drastically,83.19557236,10 lakh,,0.7801465317,,27.90037543,40097.0,901351.4916,Yes,,2021-08-01,urdu,Neutral,21932.0
6130,Saleem Safi,hum news,The News,Islamabad,Islamabad,Judiciary,Bomb blast near Karachi market,,3593964,186.0,-1.324970232,-1.0,37.48013129,,1 crore,No,,2022-04-13,English,Opposition,
6131,Kamran Khan,DawnNews,The News,KPK,Hyderabad,Economy,IMF deal finalised today,47.70800957,2 crore,,,4.0,,,50 lakh,No,,2019-11-19,ENG,Opposition,
6132,Ansar Abbasi,ARY News,Daily Pakistan,Punjab,Multan,Health,Bomb blast near Karachi market,,2 crore,,,0.0,,91946.0,50 lakh,No,0.0,2021-08-15,English,,
6133,Shahzeb Khanzada,hum news,Daily Pakistan,Islamabad,Rawalpindi,Media,Dollar hits 300 in open market,,,,0.9408264499,,177417.0,155201.0,1 crore,No,,2019-11-06,ENG,,12091.0
6134,Mohsin Raza,ARY News,Daily Pakistan,Punjab,Hyderabad,Economy,Thousands displaced due to rains,-0.3982670549,10 lakh,,-1.161564584,1.0,1697152.0,,,No,1.0,2023-11-21,,Opposition,47267.0
6135,Saleem Safi,SAMAA TV,Daily Pakistan,KPK,Multan,Education,Lawyers boycott proceedings,,10 lakh,,1.002454565,,261438.0,,,1,,2020-05-17,Urdu,Pro-Govt,
6136,Najam Sethi,hum news,The News,Punjab,Quetta,Terrorism,Attack on Army convoy in Waziristan,,5 million,250.0,1.014869471,3.0,9.592665322,71909.0,4862373.714,,1.0,2021-03-17,ENG,Neutral,
6137,Talat Hussain,HUM News,Express Tribune,AJK,Karachi,Economy,Trade deficit widens again,98.71151377,2 crore,,-0.02075783595,3.0,7.887011527,74462.0,,0,1.0,2018-02-25,Urdu,,48270.0
6138,Owais Tohid,AbbTakk News,Express Tribune,Islamabad,Hyderabad,Terrorism,Government to increase petrol price by Rs. 20,9.245363676,2 crore,259.0,,,40.39406277,,,No,0.0,2022-01-23,ENG,,13289.0
6139,shahzeb khanzada,GEO NEWS,Dawn,Sindh,Lahore,Politics,Dawn faces backlash over editorial,16.20526956,,492.0,1.599195166,0.0,,,3975148.891,1,1.0,2018-06-20,urdu,Opposition,46277.0
6140,shahzeb khanzada,Express,Dawn,Punjab,Peshawar,Sports,Exports see slight recovery,17.65244813,2 crore,,1.706288406,0.0,42.40213873,,,0,1.0,2021-02-04,,Pro-Govt,34448.0
6141,shahzeb khanzada,GEO NEWS,Express Tribune,Balochistan,Hyderabad,Politics,COVID resurfaces in Islamabad schools,100.4995949,9613965,479.0,-0.8705908265,,652986.0,177372.0,1 crore,1,,2025-03-19,Urdu,Opposition,26198.0
6142,Mohsin Raza Khan,ARY News,Nawa-i-Waqt,Sindh,Multan,Education,High Court stays government decision,,,472.0,0.5260832782,,1154623.0,,,No,0.0,2024-03-01,ENG,Neutral,
6143,Nusrat Javed,GEO NEWS,Jang,AJK,Multan,Sports,Doctors protest low salaries,40.98834088,5 million,,,,,40180.0,,,1.0,2025-04-12,,Opposition,9970.0
6144,Mohsin Raza Khan,ARYNEWS,Express Tribune,Punjab,Quetta,Sports,Counter-terrorism department arrests suspects,,2 crore,,-1.499681306,,,38087.0,1 crore,0,,2022-03-28,English,Opposition,27942.0
6145,Saleem Safi,ARY,Nawa-i-Waqt,AJK,Islamabad,Health,Geo TV faces heavy fines by PEMRA,16.54047853,10 lakh,244.0,,,,,1 crore,,0.0,2020-03-26,ENG,Neutral,
6146,Saleem Safi,Express-News,The News,Balochistan,Lahore,Terrorism,Flood relief funds under scrutiny,64.61070859,8639242,412.0,,2.0,,155825.0,,1,0.0,2023-07-25,English,Opposition,45363.0
6147,RAUF KLASSRA,ARYNEWS,Nawa-i-Waqt,Sindh,Islamabad,Media,Health crisis follows floods,55.55224333,2 crore,202.0,,0.0,38.17363843,182193.0,2157036.014,0,,2023-11-16,,Neutral,
6148,Matiullah Jan,GEO NEWS,Express Tribune,Punjab,Lahore,Economy,Court orders release of missing persons,,10 lakh,345.0,-0.3552968572,,1288869.0,54082.0,50 lakh,1,1.0,2025-02-23,Urdu,Opposition,34082.0
6149,Mohsin Raza Khan,Samaa,Jang,Balochistan,Hyderabad,Health,Pakistan faces defeat in hockey series,,5 million,423.0,,1.0,,116559.0,50 lakh,0,1.0,2022-02-03,English,Opposition,
6150,Talat Hussain,ARY,The News,Sindh,Karachi,Media,Curriculum reforms announced,101.5082756,,,1.297498996,-1.0,1501030.0,49453.0,1 crore,Yes,,2018-12-12,,Pro-Govt,814.0
6151,RAUF KLASSRA,DAWN,The News,KPK,Karachi,Judiciary,Government launches CPEC project in Gwadar,,2 crore,437.0,,,3.233338528,39409.0,,,,2019-10-28,Urdu,Pro-Govt,48630.0
6152,K. Khan,Geo,Jang,KPK,Peshawar,Health,Babar Azam century wins the game,86.79723718,5222689,,1.129519845,4.0,1277975.0,151745.0,769591.7819,,0.0,2022-11-08,Urdu,,
6153,Umar Cheema,Geo,The News,Balochistan,Lahore,Economy,Ban on talkshows sparks outrage,91.60774693,4152113,63.0,,,494086.0,14058.0,4226769.814,Yes,,2024-04-07,urdu,Pro-Govt,30181.0
6154,Saleem Safi,DAWN,Nawa-i-Waqt,Punjab,Quetta,Politics,Revenue from tax declines drastically,108.6090936,10897174,281.0,0.7253726236,,29.54771091,,1 crore,,0.0,2021-10-17,urdu,Opposition,
6155,Kamran Khan,DAWN,Express Tribune,Punjab,Rawalpindi,Crime,Election rigging scandal unfolds in Lahore,,10 lakh,294.0,,,,,50 lakh,,0.0,2025-07-20,English,Opposition,35048.0
6156,Nusrat Javed,Express-News,The News,Punjab,Multan,Judiciary,Teachers boycott classes in KP,48.35068853,5 million,26.0,1.329573144,3.0,32.74689755,,,Yes,0.0,2022-02-09,,Pro-Govt,
6157,Ansar Abbasi,DawnNews,Jang,Sindh,Multan,Judiciary,Mental health awareness campaign launched,,2 crore,,-0.1237389164,,45.53169165,,,No,0.0,2021-05-01,,,44961.0
6158,shahzeb khanzada,GEO NEWS,Jang,Punjab,Peshawar,Terrorism,Flood relief funds under scrutiny,,2 crore,,0.796072066,0.0,7.18649761,,1 crore,Yes,0.0,2022-09-19,ENG,Pro-Govt,26014.0
6159,Shahzeb Khanzada,ary,The News,Balochistan,Multan,Sports,Journalists protest censorship in Islamabad,61.92008971,5 million,,,2.0,551043.0,,285251.6487,0,0.0,2018-08-03,,Pro-Govt,4557.0
6160,Rauf Klasra,Samaa,Dawn,Balochistan,Rawalpindi,Economy,Villages submerged in southern Punjab,18.18411015,2 crore,107.0,,-1.0,57628.0,110342.0,50 lakh,0,0.0,2021-01-12,urdu,Pro-Govt,20916.0
6161,Nusrat Javed,ARYNEWS,The News,KPK,Hyderabad,Education,ARY anchor arrested in midnight raid,,,,,,,78821.0,1380261.614,0,0.0,2022-09-09,,Pro-Govt,
6162,Ansar Abbasi,hum news,Dawn,Sindh,Lahore,Terrorism,Khan addresses rally in Multan,,10 lakh,,,1.0,,61020.0,50 lakh,0,,2024-01-27,Urdu,,
6163,Asma Shirazi,HUM News,Nawa-i-Waqt,Sindh,Quetta,Education,Senate passes constitutional amendment,36.96276456,10 lakh,,-0.3458321341,5.0,,,,,1.0,2024-05-04,,Neutral,
6164,shahzeb khanzada,ARYNEWS,The News,Balochistan,Rawalpindi,Media,Digital media gaining popularity,,,228.0,-0.8252339969,,581298.0,189922.0,,1,,2019-12-07,urdu,,
6165,Ansar Abbasi,Samaa,Nawa-i-Waqt,Balochistan,Islamabad,Terrorism,Hockey team faces funding crisis,51.57683081,10 lakh,,-0.2052401493,,23.80191996,,,No,,2024-11-10,ENG,Pro-Govt,24853.0
6166,Umar Cheema,ARY,Dawn,AJK,Lahore,Judiciary,"Media freedom at risk, says HRCP report",68.27780165,,,0.2659886568,,21.54656354,11126.0,1 crore,0,,2020-08-08,ENG,Neutral,
6167,Saleem Safi,ary,Daily Pakistan,KPK,Rawalpindi,Economy,Army chief meets PM over political crisis,35.8856548,,,1.950914826,2.0,36.93127635,130319.0,50 lakh,0,0.0,2022-02-26,urdu,Opposition,
6168,Owais Tohid,Express,Nawa-i-Waqt,AJK,Quetta,Politics,Vaccination drive faces shortage,,6825754,351.0,,,9.184798661,103646.0,2735995.143,No,,2018-04-01,urdu,Neutral,
